matrixSchemaVersion,matrixRunId,matrixType,executionMode,caseId,gitCommit,protocolVersion,taskCatalogVersion,questionnaireCatalogVersion,conditionCode,embodimentCondition,taskId,status,durationMs,integrityStatus,collectionEligible,placeholderUsed,blockerIds,failureReasons,sessionBundlePath
"1.0","s9-p-syn-20260722081020","Pilot","Synthetic","pilot-voice_only-pilot_restaurant_walk_in","f1b82020855f26e26297c4447b562166f55a1429","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","","voice_only","pilot_restaurant_walk_in","PASS","553","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-p-syn-20260722081020\pilot\bundles\01"
"1.0","s9-p-syn-20260722081020","Pilot","Synthetic","pilot-voice_only-pilot_restaurant_ordering","f1b82020855f26e26297c4447b562166f55a1429","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","","voice_only","pilot_restaurant_ordering","PASS","628","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-p-syn-20260722081020\pilot\bundles\02"
"1.0","s9-p-syn-20260722081020","Pilot","Synthetic","pilot-voice_only-pilot_restaurant_wrong_dish","f1b82020855f26e26297c4447b562166f55a1429","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","","voice_only","pilot_restaurant_wrong_dish","PASS","571","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-p-syn-20260722081020\pilot\bundles\03"
"1.0","s9-p-syn-20260722081020","Pilot","Synthetic","pilot-floating_orb-pilot_restaurant_walk_in","f1b82020855f26e26297c4447b562166f55a1429","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","","floating_orb","pilot_restaurant_walk_in","PASS","563","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-p-syn-20260722081020\pilot\bundles\04"
"1.0","s9-p-syn-20260722081020","Pilot","Synthetic","pilot-floating_orb-pilot_restaurant_ordering","f1b82020855f26e26297c4447b562166f55a1429","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","","floating_orb","pilot_restaurant_ordering","PASS","734","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-p-syn-20260722081020\pilot\bundles\05"
"1.0","s9-p-syn-20260722081020","Pilot","Synthetic","pilot-floating_orb-pilot_restaurant_wrong_dish","f1b82020855f26e26297c4447b562166f55a1429","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","","floating_orb","pilot_restaurant_wrong_dish","PASS","646","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-p-syn-20260722081020\pilot\bundles\06"
"1.0","s9-p-syn-20260722081020","Pilot","Synthetic","pilot-humanoid_agent-pilot_restaurant_walk_in","f1b82020855f26e26297c4447b562166f55a1429","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","","humanoid_agent","pilot_restaurant_walk_in","PASS","635","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-p-syn-20260722081020\pilot\bundles\07"
"1.0","s9-p-syn-20260722081020","Pilot","Synthetic","pilot-humanoid_agent-pilot_restaurant_ordering","f1b82020855f26e26297c4447b562166f55a1429","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","","humanoid_agent","pilot_restaurant_ordering","PASS","644","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-p-syn-20260722081020\pilot\bundles\08"
"1.0","s9-p-syn-20260722081020","Pilot","Synthetic","pilot-humanoid_agent-pilot_restaurant_wrong_dish","f1b82020855f26e26297c4447b562166f55a1429","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","","humanoid_agent","pilot_restaurant_wrong_dish","PASS","664","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-p-syn-20260722081020\pilot\bundles\09"
